Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0095865","0,0064859","0,039653",0,0,0,"3,5","0,00417","-0,00032831","0,00062645","0,012777","0,00058894","0,01649",0,0,0,0,0,0,package://gagah_ganteng/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://gagah_ganteng/meshes/base_link.STL,,Part 1-3-1;Part 2-4-1;Part 19-1-8;Ultrasonic HC-SR04-1;Part 19-1-7;PG36-1-4;Part 19-1-6;Ultrasonic HC-SR04-2;Part 19-1-2;PG36-1-1;Part 19-1-5;PG36-1-3;Ultrasonic HC-SR04-3;Part 19-1-4;Part 18-1-2;Part 18-1-3;Part 18-1-1;Part 18-1-4;Part 19-1-3;Ultrasonic HC-SR04-4;Part 19-1-1;PG36-1-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lower_right_wheel_Link,"-7,0204E-08","0,023421","-7,567E-08",0,0,0,"0,5","4,6952E-05","5,489E-18","8,5235E-18","6,4174E-05","6,7947E-18","4,6952E-05",0,0,0,0,0,0,package://gagah_ganteng/meshes/lower_right_wheel_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://gagah_ganteng/meshes/lower_right_wheel_Link.STL,,RODA1-1,Coordinate System2,Axis1,lower_right_wheel_joint,continuous,"-0,18949","-0,18623","0,058954","-0,14648","0,060459","0,040985",base_link,0,1,0,,,,,,,,,,,,
upper_right_wheel_link,"-7,5921E-08","0,023829","6,9932E-08",0,0,0,"0,5","4,6952E-05","-5,9903E-18","-1,1372E-17","6,4174E-05","6,3402E-18","4,6952E-05",0,0,0,0,0,0,package://gagah_ganteng/meshes/upper_right_wheel_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://gagah_ganteng/meshes/upper_right_wheel_link.STL,,RODA1-2,Coordinate System3,Axis2,upper_right_wheel_joint,continuous,"0,2096","-0,1694","0,037911","-0,14732","0,12246","0,031775",base_link,0,1,0,,,,,,,,,,,,
upper_left_wheel_Link,"7,9687E-08","-0,023829","-6,561E-08",0,0,0,"0,5","4,6952E-05","-7,126E-18","-6,2312E-18","6,4174E-05","5,0581E-18","4,6952E-05",0,0,0,0,0,0,package://gagah_ganteng/meshes/upper_left_wheel_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://gagah_ganteng/meshes/upper_left_wheel_Link.STL,,RODA1-3,Coordinate System4,Axis3,upper_left_wheel_joint,continuous,"0,19151","0,19274","-0,015485","-0,14726","0,11895","0,032299",base_link,0,-1,0,,,,,,,,,,,,
lower_left_wheel_Link,"1,6966E-08","-0,023829","-1,0182E-07",0,0,0,"0,5","4,6952E-05","-2,0206E-18","-2,0441E-17","6,4174E-05","8,5107E-18","4,6952E-05",0,0,0,0,0,0,package://gagah_ganteng/meshes/lower_left_wheel_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://gagah_ganteng/meshes/lower_left_wheel_Link.STL,,RODA1-4,Coordinate System5,Axis4,lower_left_wheel_joint,continuous,"-0,20758","0,17591","0,0055581","-0,14628","-0,031085","0,054479",base_link,0,-1,0,,,,,,,,,,,,
